Date,"Price : Non Coking, Portside, Ex-Gangavaram, India : RB2 (5500 NAR), S.Africa"
4/1/2021,6850
4/2/2021,7100
4/5/2021,6900
4/6/2021,6800
4/7/2021,6800
4/8/2021,6800
4/9/2021,6800
4/12/2021,6800
4/13/2021,6700
4/14/2021,6600
4/15/2021,6600
4/16/2021,6600
4/19/2021,6670
4/20/2021,6730
4/21/2021,6730
4/22/2021,6550
4/23/2021,6550
4/26/2021,6550
4/27/2021,6550
4/28/2021,6550
4/29/2021,6500
4/30/2021,6500
5/3/2021,6750
5/4/2021,6850
5/5/2021,6880
5/6/2021,7000
5/7/2021,7400
5/8/2021,7200
5/10/2021,7200
5/11/2021,7500
5/12/2021,7200
5/13/2021,7500
5/14/2021,7550
5/17/2021,7550
5/18/2021,7550
5/19/2021,7300
5/20/2021,7300
5/21/2021,7300
5/24/2021,7500
5/25/2021,7600
5/26/2021,7600
5/27/2021,7500
5/28/2021,7500
5/29/2021,7600
5/31/2021,7900
6/1/2021,7900
6/2/2021,7900
6/3/2021,7950
6/4/2021,7950
6/7/2021,7900
6/8/2021,7900
6/9/2021,7960
6/10/2021,7960
6/11/2021,7950
6/14/2021,7950
6/15/2021,7950
6/16/2021,7950
6/17/2021,8000
6/18/2021,8000
6/21/2021,8000
6/22/2021,8000
6/23/2021,8000
6/24/2021,8000
6/25/2021,8000
6/28/2021,8000
6/29/2021,8000
6/30/2021,8000
7/1/2021,8000
7/2/2021,8000
7/5/2021,8000
7/6/2021,7950
7/7/2021,8075
7/8/2021,8075
7/9/2021,8075
7/12/2021,8075
7/13/2021,8075
7/14/2021,8075
7/15/2021,8075
7/16/2021,8075
7/19/2021,8600
7/20/2021,8600
7/21/2021,8600
7/22/2021,8600
7/23/2021,8600
7/26/2021,8600
7/27/2021,8600
7/28/2021,8600
7/29/2021,8600
7/30/2021,8600
8/2/2021,8500
8/3/2021,8500
8/4/2021,8500
8/5/2021,8500
8/6/2021,8500
8/9/2021,8800
8/10/2021,8850
8/11/2021,8850
8/12/2021,8850
8/13/2021,9300
8/16/2021,9300
8/17/2021,9300
8/18/2021,9300
8/19/2021,9300
8/20/2021,9300
8/23/2021,9100
8/24/2021,9300
8/25/2021,9300
8/26/2021,9200
8/27/2021,9200
8/30/2021,9400
8/31/2021,9500
9/1/2021,9500
9/2/2021,9800
9/3/2021,9800
9/6/2021,9800
9/7/2021,9800
9/8/2021,9950
9/9/2021,10200
9/10/2021,10500
9/13/2021,10500
9/14/2021,10800
9/15/2021,10800
9/16/2021,10800
9/17/2021,10800
9/20/2021,11000
9/21/2021,11000
9/22/2021,11100
9/23/2021,11100
9/24/2021,11500
9/27/2021,11900
9/28/2021,12300
9/29/2021,12900
9/30/2021,13500
10/1/2021,13500
10/4/2021,15500
10/5/2021,15500
10/6/2021,17500
10/7/2021,17500
10/8/2021,18000
10/11/2021,18000
10/12/2021,18500
10/13/2021,18500
10/16/2021,19500
10/18/2021,19500
10/19/2021,19500
10/20/2021,18100
10/21/2021,17000
10/22/2021,17000
10/25/2021,16000
10/26/2021,15500
10/27/2021,15200
10/28/2021,15200
10/29/2021,15200
11/1/2021,13500
11/2/2021,13500
11/3/2021,11000
11/8/2021,12500
11/9/2021,12500
11/10/2021,12500
11/11/2021,12500
11/12/2021,11000
11/15/2021,10200
11/16/2021,10200
11/17/2021,10300
11/18/2021,10300
11/19/2021,10400
11/22/2021,10400
11/23/2021,10700
11/24/2021,10700
11/25/2021,12300
11/26/2021,12300
11/29/2021,11300
11/30/2021,10000
12/1/2021,10000
12/2/2021,10000
12/3/2021,10500
12/6/2021,10500
12/7/2021,10200
12/8/2021,10200
12/9/2021,10400
12/10/2021,10400
12/13/2021,10600
12/14/2021,10700
12/15/2021,10900
12/16/2021,10900
12/17/2021,11000
12/20/2021,11200
12/21/2021,11275
12/22/2021,11375
12/23/2021,11375
12/24/2021,11375
12/27/2021,12000
12/28/2021,12000
12/29/2021,12000
12/30/2021,12000
12/31/2021,12000
1/3/2022,11500
1/4/2022,11500
1/5/2022,11500
1/6/2022,12000
1/7/2022,12000
1/10/2022,12000
1/11/2022,12700
1/12/2022,12700
1/13/2022,12700
1/14/2022,12700
1/17/2022,13600
1/18/2022,13600
1/19/2022,13600
1/20/2022,13600
1/21/2022,13600
1/24/2022,13600
1/25/2022,13900
1/28/2022,15000
1/31/2022,15000
2/1/2022,15100
2/2/2022,15100
2/3/2022,15400
2/4/2022,15400
2/7/2022,15400
2/8/2022,15500
2/9/2022,15800
2/10/2022,15800
2/11/2022,15800
2/14/2022,16000
2/15/2022,16000
2/16/2022,16000
2/17/2022,16300
2/18/2022,16300
2/21/2022,16300
2/22/2022,16000
2/23/2022,16000
2/24/2022,16500
2/25/2022,17500
2/28/2022,17500
3/1/2022,17500
3/2/2022,18500
3/3/2022,19500
3/4/2022,19500
3/7/2022,23000
3/8/2022,23000
3/9/2022,24500
3/10/2022,24500
3/11/2022,24500
3/14/2022,24500
3/15/2022,24500
3/16/2022,24500
3/17/2022,20500
3/21/2022,20500
3/22/2022,20500
3/23/2022,20500
3/24/2022,20500
3/25/2022,20500
3/28/2022,20500
3/29/2022,20500
3/30/2022,20500
3/31/2022,20000
4/1/2022,20000
4/4/2022,20000
4/5/2022,19500
4/6/2022,21000
4/7/2022,21000
4/8/2022,21000
4/11/2022,21000
4/12/2022,21000
4/13/2022,21000
4/14/2022,21000
4/15/2022,21000
4/18/2022,21000
4/19/2022,21000
4/20/2022,22000
4/21/2022,22000
4/22/2022,22000
4/25/2022,23400
4/26/2022,23400
4/27/2022,23500
4/28/2022,23000
4/29/2022,23000
5/2/2022,21500
5/3/2022,21500
5/4/2022,21500
5/5/2022,21500
5/6/2022,21500
5/9/2022,23000
5/10/2022,23000
5/11/2022,23000
5/12/2022,22500
