Date,"Price : Ingot, DAP-Mandi Gobindgarh, India : 3.5 x 4.5 Inch,IS 2830"
2021-04-01,42600
2021-04-02,43000
2021-04-03,42800
2021-04-05,43300
2021-04-06,43500
2021-04-07,43400
2021-04-08,43100
2021-04-09,42600
2021-04-10,43100
2021-04-12,43700
2021-04-13,43100
2021-04-14,43200
2021-04-15,44100
2021-04-16,44200
2021-04-17,44000
2021-04-19,43400
2021-04-20,43000
2021-04-21,43500
2021-04-22,44100
2021-04-23,44500
2021-04-24,43700
2021-04-26,44300
2021-04-27,44000
2021-04-28,45000
2021-04-29,44700
2021-04-30,44700
2021-05-01,45200
2021-05-03,45900
2021-05-04,45800
2021-05-05,45500
2021-05-06,45400
2021-05-07,46000
2021-05-08,46500
2021-05-10,46200
2021-05-11,46600
2021-05-12,46700
2021-05-13,46200
2021-05-14,45800
2021-05-15,46100
2021-05-17,46450
2021-05-18,46000
2021-05-19,45400
2021-05-20,45350
2021-05-21,44100
2021-05-22,45000
2021-05-24,44600
2021-05-25,43850
2021-05-26,44150
2021-05-27,43500
2021-05-28,44800
2021-05-29,44200
2021-05-31,44600
2021-06-01,45100
2021-06-02,46000
2021-06-03,46500
2021-06-04,46800
2021-06-05,46850
2021-06-07,46600
2021-06-08,46100
2021-06-09,46000
2021-06-10,46500
2021-06-11,46900
2021-06-12,46500
2021-06-14,45900
2021-06-15,45900
2021-06-16,45400
2021-06-17,44900
2021-06-18,44500
2021-06-19,45100
2021-06-21,44700
2021-06-22,44100
2021-06-23,44300
2021-06-24,43700
2021-06-25,43700
2021-06-26,43100
2021-06-28,43000
2021-06-29,42100
2021-06-30,42300
2021-07-01,42400
2021-07-02,42400
2021-07-03,42800
2021-07-05,43000
2021-07-06,43000
2021-07-07,43000
2021-07-08,43100
2021-07-09,43400
2021-07-10,44000
2021-07-12,44000
2021-07-13,43100
2021-07-14,42300
2021-07-15,42800
2021-07-16,42700
2021-07-17,43500
2021-07-19,44200
2021-07-20,44700
2021-07-21,45500
2021-07-22,45700
2021-07-23,45100
2021-07-24,45500
2021-07-26,45700
2021-07-27,45300
2021-07-28,45800
