Date,"Price : Melting Scrap, DAP-Mandi Gobindgarh, India : End Cutting"
2020-05-12,23500
2020-05-13,23600
2020-05-14,24300
2020-05-15,25300
2020-05-16,25000
2020-05-18,24800
2020-05-19,24500
2020-05-20,24800
2020-05-21,25400
2020-05-22,24900
2020-05-23,25100
2020-05-25,25200
2020-05-26,25400
2020-05-27,25300
2020-05-28,25500
2020-05-29,25400
2020-05-30,25400
2020-06-01,25700
2020-06-02,25500
2020-06-03,25400
2020-06-04,25600
2020-06-05,25700
2020-06-06,25900
2020-06-08,25900
2020-06-09,26000
2020-06-10,25500
2020-06-11,25600
2020-06-12,25300
2020-06-13,25200
2020-06-15,24900
2020-06-16,24800
2020-06-17,24600
2020-06-18,24600
2020-06-19,24300
2020-06-20,24200
2020-06-22,24100
2020-06-23,24400
2020-06-24,24400
2020-06-25,24800
2020-06-26,24200
2020-06-27,24400
2020-06-29,24400
2020-06-30,24300
2020-07-01,24000
2020-07-02,23800
2020-07-03,23900
2020-07-04,23800
2020-07-06,23500
2020-07-07,23800
2020-07-08,23600
2020-07-09,24100
2020-07-10,24300
2020-07-11,24200
2020-07-13,24500
2020-07-14,24500
2020-07-15,24300
2020-07-16,24800
2020-07-17,24600
2020-07-18,24600
2020-07-20,25000
2020-07-21,25000
2020-07-22,24500
2020-07-23,24600
2020-07-24,24800
2020-07-25,25000
2020-07-27,25200
2020-07-28,25300
2020-07-29,25200
2020-07-30,25200
2020-07-31,25200
2020-08-01,25200
2020-08-04,25900
2020-08-05,25900
2020-08-06,25600
2020-08-07,25600
2020-08-08,25900
2020-08-10,26600
2020-08-11,26800
2020-08-12,27200
2020-08-13,27800
2020-08-14,27600
2020-08-17,27900
2020-08-18,27800
2020-08-19,27300
2020-08-20,27200
2020-08-21,26800
2020-08-22,26600
2020-08-24,26300
2020-08-25,26800
2020-08-26,26900
2020-08-27,26700
2020-08-28,26900
2020-08-29,27200
2020-08-31,27700
2020-09-01,27300
2020-09-02,27100
2020-09-03,27200
2020-09-04,27400
2020-09-05,27200
2020-09-07,27400
2020-09-08,27700
2020-09-09,27300
2020-09-10,27400
2020-09-11,27000
2020-09-12,27100
2020-09-14,26900
2020-09-15,27000
2020-09-16,27200
2020-09-17,27000
2020-09-18,27400
2020-09-19,27300
2020-09-21,27200
2020-09-22,26800
2020-09-23,26700
2020-09-24,26900
2020-09-25,26700
2020-09-26,26700
2020-09-28,26300
2020-09-29,26300
2020-09-30,26200
2020-10-01,26600
2020-10-03,26800
2020-10-05,26900
2020-10-06,27100
2020-10-07,27100
2020-10-08,26900
2020-10-09,27000
2020-10-10,26600
2020-10-12,27000
2020-10-13,27100
2020-10-14,27700
2020-10-15,27500
2020-10-16,27400
2020-10-17,27200
2020-10-20,27000
2020-10-21,27200
2020-10-22,27300
2020-10-23,27600
2020-10-24,27900
2020-10-26,27900
2020-10-27,28100
2020-10-28,28400
2020-10-29,28400
2020-10-30,28200
2020-10-31,28200
2020-11-02,28300
2020-11-03,28200
2020-11-04,28400
2020-11-05,28800
2020-11-06,28400
2020-11-07,28000
2020-11-09,27600
2020-11-10,27300
2020-11-11,27700
2020-11-12,28200
2020-11-13,28500
2020-11-16,28800
2020-11-17,29200
2020-11-18,29500
2020-11-19,29500
2020-11-20,29700
2020-11-21,29000
2020-11-23,28500
2020-11-24,28000
2020-11-25,28000
2020-11-26,28000
2020-11-27,28500
2020-11-28,28800
2020-11-30,29200
2020-12-01,29400
2020-12-02,30100
2020-12-03,30100
2020-12-04,30100
2020-12-05,29800
2020-12-07,30500
2020-12-08,30500
2020-12-09,30200
2020-12-10,30100
2020-12-11,30600
2020-12-12,30900
2020-12-14,31100
2020-12-15,31500
2020-12-16,31600
2020-12-17,32000
2020-12-18,32100
2020-12-19,32200
2020-12-21,31700
2020-12-22,31500
2020-12-23,31500
2020-12-24,31800
2020-12-26,32600
2020-12-28,33100
2020-12-29,33600
