Date,"Price : Sponge Iron, DRCLO, Exw-Raipur, India : Mix,FeM 82%, +/-1"
2020-05-07,17600
2020-05-08,17600
2020-05-09,17500
2020-05-11,17200
2020-05-12,17000
2020-05-13,16900
2020-05-14,17200
2020-05-15,17400
2020-05-16,17400
2020-05-18,17200
2020-05-19,17100
2020-05-20,17200
2020-05-21,17500
2020-05-22,17500
2020-05-23,17700
2020-05-25,18200
2020-05-26,18400
2020-05-27,18100
2020-05-28,18100
2020-05-29,18000
2020-05-30,18000
2020-06-01,18100
2020-06-02,18100
2020-06-03,18000
2020-06-04,18000
2020-06-05,17900
2020-06-06,17900
2020-06-08,17900
2020-06-09,17800
2020-06-10,17700
2020-06-11,17700
2020-06-12,17500
2020-06-13,17500
2020-06-15,17300
2020-06-16,17100
2020-06-17,17000
2020-06-18,16900
2020-06-19,16800
2020-06-20,16650
2020-06-22,16600
2020-06-23,16900
2020-06-24,17400
2020-06-25,17500
2020-06-26,17600
2020-06-27,17600
2020-06-29,17600
2020-06-30,18000
2020-07-01,18000
2020-07-02,17900
2020-07-03,17700
2020-07-04,17800
2020-07-06,17800
2020-07-07,17800
2020-07-08,17800
2020-07-09,18000
2020-07-10,18200
2020-07-11,18000
2020-07-13,18000
2020-07-14,18100
2020-07-15,18000
2020-07-16,18000
2020-07-17,17800
2020-07-18,17800
2020-07-20,18100
2020-07-21,18200
2020-07-22,18200
2020-07-23,18600
2020-07-24,19000
2020-07-25,19200
2020-07-27,19400
2020-07-28,19400
2020-07-29,19500
2020-07-30,19400
2020-07-31,19400
2020-08-01,19400
2020-08-04,19800
2020-08-05,20000
2020-08-06,20300
2020-08-07,20500
2020-08-08,20700
2020-08-10,21700
2020-08-11,22000
2020-08-12,22200
2020-08-13,22500
2020-08-14,22600
2020-08-17,23000
2020-08-18,23000
2020-08-19,22300
2020-08-20,22000
2020-08-21,21400
2020-08-22,21300
2020-08-24,21000
2020-08-25,21000
2020-08-26,21000
2020-08-27,20800
2020-08-28,21000
2020-08-29,21300
2020-08-31,22200
2020-09-01,22000
2020-09-02,22000
2020-09-03,22000
2020-09-04,22200
2020-09-05,22100
2020-09-07,22100
2020-09-08,22200
2020-09-09,21900
2020-09-10,21900
2020-09-11,21800
2020-09-12,21600
2020-09-14,21200
2020-09-15,21400
2020-09-16,21500
2020-09-17,21500
2020-09-18,21300
2020-09-19,21400
2020-09-21,21400
2020-09-22,21100
2020-09-23,21000
2020-09-24,21000
2020-09-25,21000
2020-09-26,20900
2020-09-28,20700
2020-09-29,20700
2020-09-30,20500
2020-10-01,20600
2020-10-03,20800
2020-10-05,21200
2020-10-06,21300
2020-10-07,21500
2020-10-08,21400
2020-10-09,21400
2020-10-10,21300
2020-10-12,21500
2020-10-13,21500
2020-10-14,21800
2020-10-15,21800
2020-10-16,22000
2020-10-17,21500
2020-10-19,21900
2020-10-20,22000
2020-10-21,22100
2020-10-22,22500
2020-10-23,22800
2020-10-24,22800
2020-10-26,23100
2020-10-27,23600
2020-10-28,23700
2020-10-29,23800
2020-10-30,23700
2020-10-31,23700
2020-11-02,24000
2020-11-03,24100
2020-11-04,24500
2020-11-05,24900
2020-11-06,24800
2020-11-07,24700
2020-11-09,24500
2020-11-10,24400
2020-11-11,24800
2020-11-12,25200
2020-11-13,25900
2020-11-16,26300
2020-11-17,27300
2020-11-18,27400
2020-11-19,27300
2020-11-20,27300
2020-11-21,27200
2020-11-23,26800
2020-11-24,26300
2020-11-25,26400
2020-11-26,26200
2020-11-27,26300
2020-11-28,26500
2020-11-30,26950
2020-12-01,26900
2020-12-02,27100
2020-12-03,27200
2020-12-04,27100
2020-12-05,27000
2020-12-07,27100
2020-12-08,27000
2020-12-09,26900
2020-12-10,26600
2020-12-11,26800
2020-12-12,27000
2020-12-14,27100
2020-12-15,27200
2020-12-16,27400
2020-12-17,27500
2020-12-18,27600
2020-12-19,28200
2020-12-21,28100
2020-12-22,28000
2020-12-23,28100
2020-12-24,28100
2020-12-26,28200
2020-12-28,28200
2020-12-29,28200
2020-12-30,28000
2020-12-31,28000
2021-01-01,28200
2021-01-02,28500
2021-01-04,28700
2021-01-05,28600
2021-01-06,28500
2021-01-07,28300
2021-01-08,28300
2021-01-09,28300
2021-01-11,28300
2021-01-12,28000
2021-01-13,28000
2021-01-14,28000
2021-01-15,27700
2021-01-16,27600
2021-01-18,27400
2021-01-19,27100
2021-01-20,26600
2021-01-21,26300
2021-01-22,26000
2021-01-23,26000
2021-01-25,26100
2021-01-27,26100
2021-01-28,25900
2021-01-29,25700
2021-01-30,25600
2021-02-01,25000
2021-02-02,25100
2021-02-03,25000
2021-02-04,24700
2021-02-05,24800
2021-02-06,24800
2021-02-08,24900
2021-02-09,25100
2021-02-10,25800
2021-02-11,25700
2021-02-12,25500
2021-02-13,25600
2021-02-15,26100
2021-02-16,26200
2021-02-17,26900
2021-02-18,27300
2021-02-19,27700
2021-02-20,27700
2021-02-22,27600
2021-02-23,27400
2021-02-24,27700
2021-02-25,28000
2021-02-26,28800
2021-02-27,28900
2021-03-01,29400
2021-03-02,29200
2021-03-03,29100
2021-03-04,29000
2021-03-05,29300
2021-03-06,29000
2021-03-08,28800
