Date,"Price : Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1"
2020-05-07,15600
2020-05-08,15600
2020-05-09,15500
2020-05-11,15300
2020-05-12,15000
2020-05-13,14900
2020-05-14,15300
2020-05-15,15500
2020-05-16,15500
2020-05-18,15300
2020-05-19,15200
2020-05-20,15300
2020-05-21,15500
2020-05-22,15400
2020-05-23,15500
2020-05-25,16200
2020-05-26,16450
2020-05-27,16200
2020-05-28,16300
2020-05-29,16200
2020-05-30,16100
2020-06-01,16200
2020-06-02,16150
2020-06-03,16100
2020-06-04,16100
2020-06-05,16100
2020-06-06,16100
2020-06-08,16100
2020-06-09,16050
2020-06-10,15900
2020-06-11,15750
2020-06-12,15700
2020-06-13,15500
2020-06-15,15150
2020-06-16,15100
2020-06-17,14900
2020-06-18,14900
2020-06-19,14800
2020-06-20,14650
2020-06-22,14600
2020-06-23,15000
2020-06-24,15500
2020-06-25,15600
2020-06-26,15600
2020-06-27,15600
2020-06-29,15600
2020-06-30,16000
2020-07-01,16000
2020-07-02,15800
2020-07-03,15700
2020-07-04,15800
2020-07-06,15800
2020-07-07,15800
2020-07-08,15800
2020-07-09,16100
2020-07-10,16300
2020-07-11,16300
2020-07-13,16300
2020-07-14,16400
2020-07-15,16300
2020-07-16,16150
2020-07-17,16100
2020-07-18,16100
2020-07-20,16300
2020-07-21,16400
2020-07-22,16400
2020-07-23,16800
2020-07-24,17300
2020-07-25,17500
2020-07-27,17700
2020-07-28,17700
2020-07-29,17700
2020-07-30,17500
2020-07-31,17300
2020-08-01,17400
2020-08-04,18300
2020-08-05,18500
2020-08-06,18800
2020-08-07,19000
2020-08-08,19200
2020-08-10,20400
2020-08-11,20500
2020-08-12,20700
2020-08-13,21000
2020-08-14,21000
2020-08-17,21500
2020-08-18,21300
2020-08-19,20000
2020-08-20,19700
2020-08-21,18900
2020-08-22,18850
2020-08-24,18850
2020-08-25,19100
2020-08-26,19200
2020-08-27,19000
2020-08-28,19200
2020-08-29,19400
2020-08-31,20200
2020-09-01,20000
2020-09-02,20000
2020-09-03,19900
2020-09-04,20200
2020-09-05,20100
2020-09-07,20100
2020-09-08,20200
2020-09-09,19900
2020-09-10,19800
2020-09-11,19600
2020-09-12,19400
2020-09-14,19000
2020-09-15,19200
2020-09-16,19400
2020-09-17,19300
2020-09-18,19400
2020-09-19,19500
2020-09-21,19400
2020-09-22,19100
2020-09-23,19000
2020-09-24,19000
2020-09-25,18900
2020-09-26,18750
2020-09-28,18600
2020-09-29,18500
2020-09-30,18400
2020-10-01,18600
2020-10-03,18800
2020-10-05,19300
2020-10-06,19500
2020-10-07,19400
2020-10-08,19300
2020-10-09,19300
2020-10-10,19100
2020-10-12,19600
2020-10-13,19600
2020-10-14,19900
2020-10-15,19800
2020-10-16,19600
2020-10-17,19500
2020-10-19,19900
2020-10-20,20100
2020-10-21,20200
2020-10-22,20500
2020-10-23,20800
2020-10-24,20900
2020-10-26,21200
2020-10-27,21700
2020-10-28,21800
2020-10-29,21850
2020-10-30,21700
2020-10-31,21900
2020-11-02,22200
2020-11-03,22300
2020-11-04,22600
2020-11-05,23000
2020-11-06,22900
2020-11-07,22800
2020-11-09,22600
2020-11-10,22250
2020-11-11,22900
2020-11-12,23500
2020-11-13,24100
2020-11-16,24500
2020-11-17,25400
2020-11-18,25500
2020-11-19,25400
2020-11-20,25400
2020-11-21,25000
2020-11-23,24800
2020-11-24,24350
2020-11-25,24400
2020-11-26,24300
2020-11-27,24500
2020-11-28,24600
2020-11-30,25000
2020-12-01,24900
2020-12-02,25150
2020-12-03,25300
2020-12-04,25200
2020-12-05,24900
2020-12-07,25050
2020-12-08,25000
2020-12-09,24700
2020-12-10,24550
2020-12-11,24800
2020-12-12,25000
2020-12-14,25100
2020-12-15,25100
2020-12-16,25500
2020-12-17,25500
2020-12-18,25600
2020-12-19,26100
2020-12-21,26000
2020-12-22,26000
2020-12-23,26000
2020-12-24,26100
2020-12-26,26200
2020-12-28,26100
2020-12-29,26000
2020-12-30,25700
2020-12-31,25900
2021-01-01,26000
2021-01-02,26300
2021-01-04,26600
2021-01-05,26600
2021-01-06,26400
2021-01-07,26000
2021-01-08,26100
2021-01-09,26100
2021-01-11,26000
2021-01-12,26000
2021-01-13,25900
2021-01-14,25800
2021-01-15,25550
2021-01-16,25400
2021-01-18,25200
2021-01-19,24900
2021-01-20,24400
2021-01-21,24000
2021-01-22,24000
2021-01-23,24000
2021-01-25,24100
2021-01-27,24100
2021-01-28,24000
2021-01-29,23600
2021-01-30,23500
2021-02-01,23000
2021-02-02,23200
2021-02-03,22950
2021-02-04,22600
2021-02-05,22900
2021-02-06,22900
2021-02-08,23000
2021-02-09,23200
2021-02-10,23800
2021-02-11,23700
2021-02-12,23500
2021-02-13,23700
2021-02-15,24200
2021-02-16,24400
2021-02-17,25000
2021-02-18,25400
2021-02-19,25900
2021-02-20,25900
2021-02-22,25700
2021-02-23,25400
2021-02-24,25800
2021-02-25,26100
2021-02-26,26800
2021-02-27,26900
2021-03-01,27400
2021-03-02,27200
2021-03-03,27200
2021-03-04,27100
2021-03-05,27400
2021-03-06,27200
2021-03-08,27000
2021-03-09,27100
2021-03-10,27400
2021-03-11,27600
2021-03-12,27400
2021-03-13,27400
2021-03-15,27500
2021-03-16,27200
2021-03-17,27000
2021-03-18,27200
2021-03-19,27200
2021-03-20,27300
2021-03-22,27300
2021-03-23,27200
2021-03-24,27000
2021-03-25,27000
2021-03-26,27500
2021-03-27,28000
2021-03-31,28800
2021-04-01,29300
2021-04-02,30000
2021-04-03,30000
2021-04-05,30100
2021-04-06,30300
2021-04-07,30100
2021-04-08,29700
2021-04-09,29000
2021-04-10,29200
2021-04-12,29400
2021-04-13,29250
2021-04-14,30300
2021-04-15,30700
2021-04-16,30900
2021-04-17,30500
2021-04-19,30000
2021-04-20,29500
2021-04-21,29400
2021-04-22,29400
2021-04-23,29250
2021-04-24,29000
2021-04-26,28800
2021-04-27,28500
2021-04-28,28400
2021-04-29,28800
2021-04-30,28750
2021-05-01,28800
2021-05-03,29400
2021-05-04,29400
2021-05-05,29200
2021-05-06,29000
2021-05-07,29000
2021-05-08,29100
2021-05-10,30000
2021-05-11,31300
2021-05-12,32400
2021-05-13,32000
2021-05-14,31400
2021-05-15,31400
2021-05-17,31000
2021-05-18,30400
2021-05-19,30000
2021-05-20,30000
2021-05-21,29000
2021-05-22,29500
2021-05-24,29100
2021-05-25,28700
2021-05-26,28500
2021-05-27,28450
2021-05-28,29000
2021-05-29,29000
2021-05-31,29500
2021-06-01,30000
2021-06-02,30700
2021-06-03,31000
2021-06-04,31200
2021-06-05,31100
2021-06-07,30800
2021-06-08,30500
2021-06-09,30400
2021-06-10,30800
2021-06-11,31000
2021-06-12,31000
2021-06-14,30800
2021-06-15,30800
2021-06-16,30700
2021-06-17,30600
2021-06-18,30550
2021-06-19,30800
2021-06-21,30700
2021-06-22,30500
2021-06-23,30400
2021-06-24,30300
2021-06-25,30000
2021-06-26,29800
2021-06-28,29800
2021-06-29,29300
2021-06-30,29400
2021-07-01,29200
2021-07-02,29100
2021-07-03,29000
2021-07-05,28900
2021-07-06,28850
2021-07-07,28850
2021-07-08,28700
2021-07-09,28700
2021-07-10,29000
2021-07-12,29100
2021-07-13,29000
2021-07-14,28800
2021-07-15,29000
2021-07-16,29100
2021-07-17,29300
2021-07-19,29200
2021-07-20,29500
2021-07-21,29700
2021-07-22,29800
2021-07-23,29700
2021-07-24,29700
2021-07-26,30000
2021-07-27,29800
2021-07-28,30100
2021-07-29,30400
2021-07-30,30300
2021-07-31,30600
2021-08-02,30700
2021-08-03,30800
2021-08-04,31100
2021-08-05,31100
2021-08-06,31000
2021-08-07,30900
2021-08-09,31000
2021-08-10,31000
2021-08-11,31300
2021-08-12,31850
2021-08-13,31800
2021-08-14,31900
2021-08-16,32000
2021-08-17,32000
2021-08-18,31900
2021-08-19,31850
2021-08-20,31700
2021-08-21,31000
2021-08-23,30200
2021-08-24,30200
2021-08-25,30100
2021-08-26,30000
2021-08-27,29700
2021-08-28,29400
2021-08-30,29500
2021-08-31,29600
