Date,Price 
5/30/2020,36300
6/1/2020,36600
6/2/2020,37100
6/3/2020,37100
6/4/2020,36700
6/5/2020,36800
6/6/2020,36800
6/8/2020,36900
6/9/2020,36900
6/10/2020,36700
6/11/2020,36500
6/12/2020,36200
6/13/2020,35800
6/15/2020,35700
6/16/2020,35500
6/17/2020,35400
6/18/2020,35100
6/19/2020,34900
6/20/2020,34700
6/22/2020,34400
6/23/2020,34500
6/24/2020,34500
6/25/2020,34600
6/26/2020,34900
6/27/2020,34900
6/29/2020,34900
6/30/2020,34500
7/1/2020,34200
7/2/2020,34100
7/3/2020,33700
7/4/2020,33600
7/6/2020,33300
7/7/2020,33300
7/8/2020,33200
7/9/2020,33100
7/10/2020,33100
7/11/2020,33300
7/13/2020,33500
7/14/2020,34000
7/15/2020,33900
7/16/2020,33700
7/17/2020,33300
7/18/2020,32900
7/20/2020,32900
7/21/2020,32900
7/22/2020,32800
7/23/2020,33000
7/24/2020,33200
7/25/2020,33400
7/27/2020,33500
7/28/2020,33800
7/29/2020,33700
7/30/2020,33500
7/31/2020,33400
8/1/2020,33500
8/4/2020,34100
8/5/2020,34100
8/6/2020,34000
8/7/2020,33900
8/8/2020,33900
8/10/2020,34400
8/11/2020,34600
8/12/2020,35700
8/13/2020,36100
8/14/2020,36100
8/17/2020,36300
8/18/2020,36000
8/19/2020,35800
8/20/2020,35400
8/21/2020,35000
8/22/2020,34500
8/24/2020,33900
8/25/2020,34300
8/26/2020,34500
8/27/2020,34500
8/28/2020,34600
8/29/2020,34700
8/31/2020,35200
9/1/2020,35500
9/2/2020,35200
9/3/2020,35100
9/4/2020,35400
9/5/2020,35300
9/7/2020,35500
9/8/2020,35700
9/9/2020,35300
9/10/2020,35300
9/11/2020,35200
9/12/2020,35300
9/14/2020,35100
9/15/2020,35300
9/16/2020,35900
9/17/2020,36000
9/18/2020,36000
9/19/2020,36100
9/21/2020,36000
9/22/2020,35500
9/23/2020,35300
9/24/2020,35300
9/25/2020,35200
9/26/2020,35100
9/28/2020,34700
9/29/2020,34300
9/30/2020,34300
10/1/2020,34500
10/3/2020,34700
10/5/2020,35200
10/6/2020,35400
10/7/2020,35500
10/8/2020,35700
10/9/2020,35900
10/10/2020,35900
10/12/2020,36200
10/13/2020,36700
10/14/2020,36800
10/15/2020,36700
10/16/2020,36600
10/17/2020,36300
10/19/2020,36300
10/20/2020,36200
10/21/2020,36000
10/22/2020,36100
10/23/2020,36500
10/24/2020,36500
10/26/2020,36400
10/27/2020,36700
10/28/2020,37000
10/29/2020,37000
10/30/2020,36800
10/31/2020,36800
11/2/2020,37000
11/3/2020,37200
11/4/2020,37700
11/5/2020,38100
11/6/2020,38000
11/7/2020,37900
11/9/2020,37500
11/10/2020,37200
11/11/2020,37100
11/12/2020,37600
11/13/2020,38200
11/16/2020,38600
11/17/2020,39100
11/18/2020,39900
11/19/2020,40000
11/20/2020,40400
11/21/2020,40300
11/23/2020,40000
11/24/2020,39400
11/25/2020,39400
11/26/2020,39200
11/27/2020,39300
11/28/2020,39600
11/30/2020,40000
12/1/2020,40300
12/2/2020,40800
12/3/2020,41100
12/4/2020,41100
12/5/2020,41000
12/7/2020,41500
12/8/2020,41400
12/9/2020,41400
12/10/2020,41000
12/11/2020,41300
12/12/2020,41500
12/14/2020,41800
12/15/2020,41900
12/16/2020,42100
12/17/2020,43500
12/18/2020,43600
12/19/2020,44100
12/21/2020,43400
12/22/2020,43000
12/23/2020,43000
12/24/2020,43200
12/26/2020,44400
12/28/2020,44900
12/29/2020,45300
12/30/2020,45600
12/31/2020,46600
1/1/2021,46600
1/2/2021,47000
1/4/2021,47000
1/5/2021,46900
1/6/2021,46200
1/7/2021,45900
1/8/2021,45300
1/9/2021,45000
1/11/2021,44900
1/12/2021,44300
1/13/2021,44200
1/14/2021,44100
1/15/2021,43900
1/16/2021,43900
1/18/2021,43800
1/19/2021,43100
1/20/2021,42500
1/21/2021,42400
1/22/2021,41400
1/23/2021,41200
1/25/2021,40900
1/27/2021,40800
1/28/2021,40700
1/29/2021,40100
1/30/2021,39400
2/1/2021,38900
2/2/2021,38900
2/3/2021,38800
2/4/2021,38700
2/5/2021,38800
2/6/2021,38800
2/8/2021,39300
2/9/2021,39900
2/10/2021,40400
2/11/2021,40500
2/12/2021,40300
2/13/2021,40500
2/15/2021,41300
2/16/2021,41700
2/17/2021,42700
2/18/2021,43200
2/19/2021,44100
2/20/2021,44200
2/22/2021,43600
2/23/2021,43000
2/24/2021,43300
2/25/2021,43300
2/26/2021,43900
2/27/2021,44600
3/1/2021,44600
3/2/2021,44700
3/3/2021,44600
3/4/2021,44100
3/5/2021,44300
3/6/2021,44300
3/8/2021,44000
3/9/2021,44000
3/10/2021,44300
3/11/2021,44700
3/12/2021,44800
3/13/2021,45000
3/15/2021,45300
3/16/2021,45100
3/17/2021,45000
3/18/2021,45300
3/19/2021,44900
3/20/2021,45100
3/22/2021,45100
3/23/2021,44800
3/24/2021,44300
3/25/2021,44200
3/26/2021,44600
3/27/2021,45300
3/31/2021,46300
4/1/2021,45700
4/2/2021,46300
4/3/2021,46300
4/5/2021,46500
4/6/2021,47100
4/7/2021,47100
4/8/2021,47000
4/9/2021,46400
4/10/2021,46300
4/12/2021,46600
4/13/2021,46300
4/14/2021,46400
4/15/2021,46900
4/16/2021,47500
4/17/2021,47800
4/19/2021,48500
4/20/2021,48300
4/21/2021,48300
4/22/2021,47800
4/23/2021,48600
4/24/2021,48500
4/26/2021,48500
4/27/2021,48500
4/28/2021,48600
4/29/2021,48700
4/30/2021,48800
5/1/2021,49000
5/3/2021,49500
5/4/2021,49500
5/5/2021,49600
5/6/2021,49500
5/7/2021,49600
5/8/2021,50300
5/10/2021,50300
5/11/2021,50700
5/12/2021,50800
5/13/2021,50800
5/14/2021,50600
5/15/2021,50200
5/17/2021,50000
5/18/2021,50000
5/19/2021,49500
5/20/2021,49300
5/21/2021,48700
5/22/2021,49300
5/24/2021,49000
5/25/2021,48400
5/26/2021,47500
5/27/2021,47200
5/28/2021,47600
5/29/2021,47500
5/31/2021,47600
6/1/2021,47800
6/2/2021,48500
6/3/2021,48900
6/4/2021,49600
6/5/2021,50300
6/7/2021,50000
6/8/2021,49900
6/9/2021,49500
6/10/2021,49700
6/11/2021,49800
6/12/2021,49800
6/14/2021,49100
6/15/2021,49100
6/16/2021,49000
6/17/2021,48900
6/18/2021,48200
6/19/2021,48200
6/21/2021,48400
6/22/2021,47800
6/23/2021,47600
6/24/2021,47500
6/25/2021,47000
6/26/2021,47000
6/28/2021,46800
6/29/2021,46400
6/30/2021,46500
7/1/2021,46400
7/2/2021,46400
7/3/2021,46200
7/5/2021,46200
7/6/2021,46100
7/7/2021,46100
7/8/2021,46000
7/9/2021,46100
7/10/2021,46300
7/12/2021,46400
7/13/2021,46200
7/14/2021,45800
7/15/2021,45600
7/16/2021,45500
7/17/2021,46000
7/19/2021,46100
7/20/2021,46300
7/21/2021,46300
7/22/2021,46300
7/23/2021,46200
7/24/2021,46700
7/26/2021,46800
7/27/2021,46700
7/28/2021,47000
7/29/2021,47500
7/30/2021,47300
7/31/2021,47600
8/2/2021,47800
8/3/2021,47400
8/4/2021,47600
8/5/2021,47600
8/6/2021,47300
8/7/2021,47300
8/9/2021,47300
8/10/2021,47500
8/11/2021,47800
8/12/2021,48000
8/13/2021,48200
8/14/2021,48200
8/16/2021,48400
8/17/2021,48400
8/18/2021,48100
8/19/2021,48100
8/20/2021,48100
8/21/2021,47800
8/23/2021,47800
8/24/2021,47600
8/25/2021,47600
8/26/2021,47200
8/27/2021,47000
8/28/2021,47000
8/30/2021,47000
8/31/2021,46900
9/1/2021,47300
9/2/2021,47000
9/3/2021,47300
9/4/2021,47600
9/6/2021,47400
9/7/2021,47200
9/8/2021,47100
9/9/2021,47100
9/10/2021,47400
9/11/2021,47000
9/13/2021,47000
9/14/2021,47400
9/15/2021,47400
9/16/2021,47200
9/17/2021,47200
9/18/2021,47200
9/20/2021,47400
9/21/2021,47800
9/22/2021,47600
9/23/2021,47800
9/24/2021,48000
9/25/2021,47800
9/27/2021,48000
9/28/2021,48500
9/29/2021,48800
9/30/2021,49300
10/1/2021,51200
10/4/2021,52500
10/5/2021,52800
10/6/2021,52600
10/7/2021,52600
10/8/2021,51800
10/9/2021,52700
10/11/2021,54600
10/12/2021,55000
10/13/2021,54600
10/14/2021,55200
10/16/2021,56500
10/18/2021,56500
10/19/2021,56500
10/20/2021,55500
10/21/2021,55500
10/22/2021,55100
10/23/2021,55000
10/25/2021,53800
10/26/2021,53500
10/27/2021,53700
10/28/2021,53400
10/29/2021,53400
10/30/2021,53200
11/1/2021,53500
11/2/2021,53500
11/3/2021,53300
11/6/2021,52400
11/8/2021,52000
11/9/2021,52000
11/10/2021,51000
11/11/2021,51000
11/12/2021,50300
11/13/2021,50300
11/16/2021,48200
11/17/2021,48200
11/18/2021,48000
11/19/2021,48500
11/20/2021,48700
11/22/2021,48200
11/23/2021,48000
11/24/2021,48000
11/25/2021,48000
11/26/2021,48200
11/27/2021,48200
11/29/2021,48300
11/30/2021,49200
12/1/2021,49200
12/2/2021,49200
12/3/2021,48500
12/4/2021,47800
12/6/2021,47400
12/7/2021,47400
12/8/2021,47400
12/9/2021,47700
12/10/2021,47700
12/11/2021,47700
12/13/2021,47800
12/14/2021,47800
12/15/2021,47600
12/16/2021,47600
12/17/2021,48200
12/18/2021,48000
12/20/2021,48000
12/21/2021,47700
12/22/2021,47700
12/23/2021,47700
12/24/2021,48300
12/27/2021,49700
12/28/2021,49700
12/29/2021,50000
12/30/2021,50200
12/31/2021,51000
1/1/2022,51000
1/3/2022,51200
1/4/2022,51000
1/5/2022,50200
1/6/2022,49700
1/7/2022,50200
1/8/2022,50700
1/10/2022,50700
1/11/2022,50800
1/12/2022,50800
1/13/2022,51000
1/14/2022,51000
1/15/2022,51200
1/17/2022,51200
1/18/2022,51000
1/19/2022,51500
1/20/2022,51500
1/21/2022,51500
1/22/2022,51500
1/24/2022,51700
1/25/2022,52200
1/27/2022,52600
1/28/2022,52600
1/29/2022,53500
1/31/2022,54000
2/1/2022,54200
2/2/2022,54500
2/3/2022,54700
2/4/2022,54700
2/5/2022,55200
2/7/2022,55200
2/8/2022,55500
2/9/2022,55200
2/10/2022,55000
2/11/2022,54500
2/12/2022,54200
2/14/2022,53800
2/15/2022,53600
2/16/2022,54000
2/17/2022,54500
2/18/2022,54500
2/19/2022,54500
2/21/2022,54700
2/22/2022,55700
2/23/2022,56200
2/24/2022,56400
2/25/2022,56400
2/26/2022,56900
2/28/2022,58500
3/1/2022,59200
3/2/2022,59500
3/3/2022,61500
3/4/2022,62100
3/5/2022,62500
3/7/2022,64000
3/8/2022,68500
3/9/2022,71200
3/10/2022,72000
3/11/2022,72300
3/12/2022,72000
3/14/2022,71500
3/15/2022,71000
3/17/2022,70000
3/21/2022,70000
3/22/2022,71000
3/23/2022,71000
3/24/2022,69700
3/25/2022,69700
3/26/2022,68200
3/28/2022,68500
3/29/2022,68500
3/30/2022,67700
3/31/2022,66700
4/1/2022,66700
4/2/2022,66400
4/4/2022,66400
4/5/2022,65200
4/6/2022,64200
4/7/2022,64200
4/8/2022,63800
4/9/2022,62700
4/11/2022,61200
4/12/2022,60500
4/13/2022,61500
4/14/2022,61500
4/15/2022,62000
4/16/2022,64700
4/18/2022,66800
4/19/2022,66800
4/20/2022,66700
4/21/2022,66700
4/22/2022,66700
4/23/2022,65200
4/25/2022,63700
4/26/2022,62500
4/27/2022,62000
4/28/2022,62500
4/29/2022,65000
4/30/2022,65000
5/2/2022,65200
5/3/2022,65000
5/4/2022,64000
5/5/2022,63500
5/6/2022,63500
5/7/2022,64200
5/9/2022,65000
5/10/2022,63500
5/11/2022,61700
5/12/2022,62000
5/13/2022,62000
5/14/2022,62000
5/16/2022,60700
5/17/2022,59600
5/18/2022,59600
5/19/2022,60000
5/20/2022,60000
5/21/2022,60200
5/23/2022,58200
5/24/2022,57000
5/25/2022,54700
5/26/2022,53700
5/27/2022,53700
5/28/2022,53700
