Date,price_non_coking_coal
2021-04-01,6850
2021-04-02,7100
2021-04-05,6900
2021-04-06,6800
2021-04-07,6800
2021-04-08,6800
2021-04-09,6800
2021-04-12,6800
2021-04-13,6700
2021-04-14,6600
2021-04-15,6600
2021-04-16,6600
2021-04-19,6670
2021-04-20,6730
2021-04-21,6730
2021-04-22,6550
2021-04-23,6550
2021-04-26,6550
2021-04-27,6550
2021-04-28,6550
2021-04-29,6500
2021-04-30,6500
2021-05-03,6750
2021-05-04,6850
2021-05-05,6880
2021-05-06,7000
2021-05-07,7400
2021-05-08,7200
2021-05-10,7200
2021-05-11,7500
2021-05-12,7200
2021-05-13,7500
2021-05-14,7550
2021-05-17,7550
2021-05-18,7550
2021-05-19,7300
2021-05-20,7300
2021-05-21,7300
2021-05-24,7500
2021-05-25,7600
2021-05-26,7600
2021-05-27,7500
2021-05-28,7500
2021-05-29,7600
2021-05-31,7900
2021-06-01,7900
2021-06-02,7900
2021-06-03,7950
2021-06-04,7950
2021-06-07,7900
2021-06-08,7900
2021-06-09,7960
2021-06-10,7960
2021-06-11,7950
2021-06-14,7950
2021-06-15,7950
2021-06-16,7950
2021-06-17,8000
2021-06-18,8000
2021-06-21,8000
2021-06-22,8000
2021-06-23,8000
2021-06-24,8000
2021-06-25,8000
2021-06-28,8000
2021-06-29,8000
2021-06-30,8000
2021-07-01,8000
2021-07-02,8000
2021-07-05,8000
2021-07-06,7950
2021-07-07,8075
2021-07-08,8075
2021-07-09,8075
2021-07-12,8075
2021-07-13,8075
2021-07-14,8075
2021-07-15,8075
2021-07-16,8075
2021-07-19,8600
2021-07-20,8600
2021-07-21,8600
2021-07-22,8600
2021-07-23,8600
2021-07-26,8600
2021-07-27,8600
2021-07-28,8600
2021-07-29,8600
2021-07-30,8600
2021-08-02,8500
2021-08-03,8500
2021-08-04,8500
2021-08-05,8500
2021-08-06,8500
2021-08-09,8800
2021-08-10,8850
2021-08-11,8850
2021-08-12,8850
2021-08-13,9300
2021-08-16,9300
2021-08-17,9300
2021-08-18,9300
2021-08-19,9300
2021-08-20,9300
2021-08-23,9100
2021-08-24,9300
2021-08-25,9300
2021-08-26,9200
2021-08-27,9200
2021-08-30,9400
2021-08-31,9500
2021-09-01,9500
2021-09-02,9800
2021-09-03,9800
2021-09-06,9800
2021-09-07,9800
2021-09-08,9950
2021-09-09,10200
2021-09-10,10500
2021-09-13,10500
2021-09-14,10800
2021-09-15,10800
2021-09-16,10800
2021-09-17,10800
2021-09-20,11000
2021-09-21,11000
2021-09-22,11100
2021-09-23,11100
2021-09-24,11500
2021-09-27,11900
2021-09-28,12300
2021-09-29,12900
2021-09-30,13500
2021-10-01,13500
2021-10-04,15500
2021-10-05,15500
2021-10-06,17500
2021-10-07,17500
2021-10-08,18000
2021-10-11,18000
2021-10-12,18500
2021-10-13,18500
2021-10-16,19500
2021-10-18,19500
2021-10-19,19500
2021-10-20,18100
2021-10-21,17000
2021-10-22,17000
2021-10-25,16000
2021-10-26,15500
2021-10-27,15200
2021-10-28,15200
2021-10-29,15200
2021-11-01,13500
2021-11-02,13500
2021-11-03,11000
2021-11-08,12500
2021-11-09,12500
2021-11-10,12500
2021-11-11,12500
2021-11-12,11000
2021-11-15,10200
2021-11-16,10200
2021-11-17,10300
